"SubgroupID","ID_RSSD"
"0","484422"
"0","3370441"
"0","451965"
"0","3605901"
"0","3632747"
"0","3461938"
"0","3632792"
"0","3371149"
"0","3605938"
"0","3410187"
"0","3462010"
"0","3559255"
"0","3442638"
"0","3453643"
"0","3372678"
"0","3632635"
"0","3690354"
"0","3370768"
"0","3371194"
"0","3370795"
"0","3447530"
"0","3453773"
"0","3395006"
"0","3614042"
"0","3489165"
"0","3384738"
"0","3462319"
"0","3371644"
"0","3476633"
"0","3372463"
"0","3462261"
"0","3371626"
"0","3548839"
"0","3462289"
"0","3371439"
"0","3621488"
"0","3632680"
"0","3410039"
"0","3395305"
"0","3370816"
"0","3538988"
"0","3370870"
"0","3371073"
"0","3592690"
"0","3447558"
"0","3370919"
"0","3371121"
"0","3581210"
"0","3371608"
"0","3642773"
"0","3690372"
"0","3776034"
"0","3632822"
"0","3559125"
"0","3395332"
"0","3642782"
"0","3632783"
"0","3559228"
"0","3410785"
"0","3462355"
"0","3632813"
"0","3559134"
"0","3621518"
"0","3463017"
"0","3801598"
"0","3597800"
"0","3442601"
"0","3430813"
"0","3452824"
"0","3614051"
"0","3581180"
"0","3721191"
"0","3410758"
"0","3371411"
"0","3538858"
"0","3372735"
"0","3372708"
"0","3690327"
"0","3462300"
"0","3395284"
"0","3462346"
"0","3614079"
"0","3387917"
"0","3666966"
"0","3371541"
"0","3371372"
"0","3632831"
"0","3538241"
"0","3605910"
"0","3372771"
"0","3372717"
"0","3371569"
"0","3377860"
"0","3597770"
"0","3632699"
"0","3605899"
"0","3489183"
"0","3372762"
"0","3442599"
"0","3642719"
"0","3371028"
"0","3666890"
"0","3370834"
"0","3370683"
"0","3371587"
"0","3442610"
"0","3477096"
"0","3462122"
"0","3538335"
"0","3395033"
"0","3559152"
"0","3632710"
"0","3605611"
"0","3370722"
"0","3559143"
"0","3614033"
"0","3711763"
"0","3389470"
"0","3370852"
"0","3559237"
"0","3597761"
"0","3395341"
"0","3666920"
"0","3548820"
"0","3632840"
"0","3597837"
"0","3559200"
"0","3462412"
"0","3539015"
"0","3597828"
"0","3371475"
"0","3452682"
"0","3721203"
"0","3371055"
"0","3401493"
"0","3462403"
"0","3666975"
"0","3371091"
"0","3605929"
"0","3370704"
"0","3632774"
"0","3642791"
"0","3592672"
"0","3621509"
"0","3632701"
"0","3447549"
"0","3442629"
"0","3371019"
"0","3371505"
"0","3410169"
"0","3581238"
"0","3711754"
"0","3371671"
"0","3721182"
"0","3666948"
"0","3442544"
"0","3461983"
"0","3597789"
"0","3621394"
"0","3632662"
"0","3461956"
"0","3605880"
"0","3592663"
"0","3632729"
"0","3371457"
"0","3371176"
"0","3372696"
"0","3462047"
"0","3462841"
"0","3462421"
"0","3462113"
"0","3469149"
"0","3632765"
"0","3370973"
"0","3395314"
"0","3371390"
"0","3410824"
"0","3371037"
"0","3666881"
"0","3442571"
"0","3451966"
"0","3801600"
"0","3453625"
"0","3801552"
"0","3371242"
"0","3462337"
"0","3592702"
"0","3632653"
"0","3489174"
"0","3463099"
"0","3442580"
"0","3395172"
"0","3462364"
"0","3597752"
"0","3559116"
"0","3650013"
"0","3621433"
"0","3581117"
"0","3370740"
"0","3711781"
"0","3462382"
"0","3642531"
"0","3371523"
"0","3372753"
"0","3592720"
"0","3476848"
"0","3614060"
"0","3614154"
"0","3453522"
"0","3370964"
"0","3461947"
"0","3463062"
"0","3592711"
"0","3371354"
"0","3453652"
"0","3632671"
"0","3690345"
"0","3592681"
"0","3372669"
"0","3597686"
"0","3395323"
"0","3711772"
"0","3453531"
"0","3801570"
"1","484422"
"1","3721931"
"1","451965"
"1","3776324"
"1","3844081"
"1","3808739"
"1","3735219"
"1","3775934"
"1","3944600"
"1","3843815"
"1","4087586"
"1","3821251"
"1","3808681"
"1","3808672"
"1","3776016"
"1","3808757"
"1","3815513"
"1","3735198"
"1","3776315"
"1","3969694"
"1","3801758"
"1","3844063"
"1","3721267"
"1","3925757"
"1","3735237"
"1","3735143"
"1","3808702"
"1","3815531"
"1","3735189"
"1","3815522"
"1","3866524"
"1","3871911"
"1","3876952"
"1","3801682"
"1","3821260"
"1","3815483"
"1","3815456"
"1","3735862"
"1","3937527"
"1","3775998"
"1","3775952"
"1","3808720"
"1","3844036"
"1","4027649"
"1","4098108"
"1","3815447"
"1","3721258"
"1","3735170"
"1","4023043"
"1","3843776"
"1","3721249"
"1","3808748"
"1","3876961"
"1","3908723"
"1","3801703"
"1","3876970"
"1","3721285"
"1","3843806"
"1","3815465"
"1","3721276"
"1","3866506"
"1","3735161"
"1","3808690"
"1","3776294"
"1","3808663"
"1","3721294"
"1","3735228"
"1","3828894"
"1","3735853"
"1","3844054"
"1","3866515"
"1","3801721"
"1","3821233"
